id,brthcan,prv,region,marstat
1315,2,35,3,1
1316,1,10,1,1
1317,1,59,5,1
1318,1,47,4,1
1319,1,35,3,6
1320,1,10,1,6
1321,1,48,4,6
1322,2,35,3,6
1323,1,59,5,1
1324,1,35,3,3
1325,1,13,1,4
1326,1,35,3,1
1327,1,24,2,6
1328,1,46,4,6
1329,1,24,2,1
1330,1,47,4,1
1331,1,24,2,6
1332,1,48,4,1
1333,2,12,1,1
1334,2,24,2,1
1335,1,35,3,1
1336,1,35,3,1
1337,1,24,2,1
1338,1,13,1,5
1339,1,47,4,5
1340,1,12,1,1
1341,1,24,2,6
1342,2,46,4,1
1343,1,12,1,1
1344,1,24,2,1
1345,1,24,2,1
1346,1,10,1,3
1347,1,13,1,2
1348,1,13,1,5
1349,2,35,3,1
1350,1,35,3,6
1351,1,24,2,2
1352,1,59,5,1
1353,1,59,5,1
